m_name	n_HBD	fraction_CSP3	n_non_strict_rotable_bonds	n_aromatic_carbocycles	n_hetero_cycles	n_O	n_aliphatic_rings	m_logp	n_amide_bonds	n_rings	is_cns_molecule
BUMETANIDE	3	0.2352941176470588	8	2	0	7	0	3.0365	0	2	0
BACLOFEN	2	0.3	4	1	0	3	0	1.8569999999999995	0	1	1
METYRAPONE	0	0.21428571428571427	3	0	2	3	0	2.637100000000001	0	2	0
METHYLPHENOBARBITAL	1	0.3076923076923077	2	1	1	5	1	1.0425999999999995	4	2	1
DULOXETINE	1	0.2222222222222222	6	2	1	2	0	4.630900000000004	0	3	1
FLUTICASONE	1	0.72	6	0	0	5	4	4.430000000000004	0	4	0
DIACEREIN	1	0.10526315789473684	5	2	0	8	1	2.0108	0	3	0
DOSULEPIN	0	0.2631578947368421	3	2	1	1	1	4.675700000000004	0	3	1
CAPTOPRIL	2	0.7777777777777778	4	0	1	4	1	0.6279000000000001	1	1	0
PINACIDIL	2	0.4615384615384616	5	0	1	5	0	2.3547800000000008	0	1	0
ZONISAMIDE	1	0.125	2	1	1	5	0	0.6163	0	2	1
GATIFLOXACIN	2	0.4736842105263158	4	1	2	7	2	1.9804	0	4	0
HETACILLIN	2	0.5263157894736842	3	1	3	7	3	1.4111	2	4	0
BENORILATE	1	0.1176470588235294	7	2	0	6	0	2.789500000000001	1	2	0
CABERGOLINE	2	0.5384615384615384	11	1	2	7	2	3.193900000000002	3	4	1
TANDOSPIRONE	0	0.7142857142857143	6	0	3	7	4	1.4098999999999997	2	5	0
GRANISETRON	1	0.5555555555555556	3	1	3	5	2	2.3184000000000005	1	4	1
SULFAPHENAZOLE	2	0.0	4	2	1	6	0	2.2553	0	3	0
TALTIRELIN	4	0.5294117647058824	8	0	3	12	2	-2.1463999999999954	6	3	1
QUINAPRIL	2	0.4	11	2	1	7	1	2.5671	1	3	0
QUETIAPINE	1	0.3809523809523809	6	2	2	5	2	2.856000000000001	0	4	1
LORCAINIDE	0	0.4090909090909091	6	2	1	3	1	4.788500000000004	1	3	0
PIPERACETAZINE	1	0.4583333333333333	7	2	2	4	2	4.976400000000004	0	4	1
CODEINE	1	0.5555555555555556	1	1	2	4	4	1.5010999999999997	0	5	1
THIABENDAZOLE	1	0.0	1	1	2	3	0	2.686400000000001	0	3	0
ALTRETAMINE	0	0.6666666666666666	3	0	1	6	0	0.0696000000000001	0	1	0
OXILOFRINE	3	0.4	3	1	0	3	0	1.0334999999999996	0	1	0
METHANTHELINE_BROMIDE	0	0.3809523809523809	7	2	1	4	1	3.953800000000003	0	3	0
TIAGABINE	1	0.45	6	0	3	3	1	5.044840000000004	0	3	1
THIOGUANINE	3	0.0	0	0	2	5	0	0.5976899999999999	0	2	0
PIRACETAM	1	0.6666666666666666	2	0	1	4	1	-0.9058999999999996	2	1	1
SUFENTANIL	0	0.5	9	1	2	4	1	4.214800000000004	1	3	1
FUSIDIC	3	0.8064516129032258	6	0	0	6	4	5.6661000000000055	0	4	0
CARVEDILOL	3	0.25	10	3	1	6	0	3.7380000000000018	0	4	0
OXAPROZIN	1	0.1111111111111111	5	2	1	4	0	4.025800000000003	0	3	0
RANITIDINE_BISMUTH_CITRATE	2	0.5384615384615384	10	0	1	7	0	1.4589999999999996	0	1	0
METHOXSALEN	0	0.08333333333333333	1	1	2	4	0	2.5478000000000005	0	3	0
GABAPENTIN	2	0.8888888888888888	3	0	0	3	1	1.3703	0	1	1
DEXPANTHENOL	4	0.8888888888888888	7	0	0	5	0	-1.1355999999999995	1	0	0
OXIRACETAM	2	0.6666666666666666	2	0	1	5	1	-1.9350999999999992	2	1	1
VENLAFAXINE	1	0.6470588235294118	5	1	0	3	1	3.035600000000002	0	2	1
SULFOXONE_SODIUM	4	0.14285714285714285	8	2	0	8	0	1.7015999999999998	0	2	0
TALINOLOL	4	0.65	10	1	0	6	1	3.268600000000002	2	2	0
METHADONE	0	0.3809523809523809	7	2	0	2	0	4.292000000000004	0	2	1
EDETATE_CALCIUM_DISODIUM	4	0.6	11	0	0	10	0	-2.0711999999999957	0	0	0
ZOPICLONE	0	0.35294117647058826	4	0	4	9	2	1.568	2	4	1
MOXIFLOXACIN_HYDROCHLORIDE	2	0.5238095238095238	4	1	3	7	3	2.3705	0	5	0
DESMOPRESSIN	14	0.4782608695652174	23	2	2	26	2	-4.1320300000000145	11	4	0
PHENMETRAZINE	1	0.4545454545454545	1	1	1	2	1	1.736	0	2	1
PAMIDRONATE	6	1.0	4	0	0	8	0	-1.6633000000000002	0	0	0
CEFACLOR	3	0.26666666666666666	5	1	2	7	2	0.6213000000000004	2	3	0
CARBOCYSTEINE	3	0.6	5	0	0	5	0	-0.7838999999999998	0	0	0
PENFLURIDOL	1	0.35714285714285715	8	3	1	2	1	7.532700000000008	0	4	1
TRAZODONE	0	0.3684210526315789	5	1	3	6	1	2.3617	0	4	1
OLMESARTAN	2	0.3103448275862069	11	2	3	12	0	4.1700200000000045	0	5	0
ZAFIRLUKAST	2	0.2903225806451613	11	3	1	9	1	5.6959200000000045	2	5	0
VORICONAZOLE	1	0.25	5	1	2	6	0	2.1769	0	3	0
DROSPIRENONE	0	0.8333333333333334	0	0	1	3	7	4.305900000000004	0	7	0
METHYLPHENIDATE	1	0.5	4	1	1	3	1	2.0853	0	2	1
TETRABENAZINE	0	0.631578947368421	4	1	2	4	2	3.238100000000002	0	3	1
MIDAZOLAM	0	0.1111111111111111	1	2	2	3	1	4.324220000000002	0	4	1
DISOPYRAMIDE	1	0.42857142857142855	8	1	1	4	0	3.3619000000000017	1	2	0
EFAVIRENZ	1	0.35714285714285715	1	1	1	3	2	4.073100000000002	1	3	0
NORGESTREL	1	0.7619047619047619	1	0	0	2	4	3.8826000000000014	0	4	0
FLURAZEPAM	0	0.3333333333333333	6	2	1	4	1	4.004900000000005	1	3	1
OMEPRAZOLE	1	0.29411764705882354	5	1	2	6	0	2.8997400000000013	0	3	0
NIACIN	1	0.0	1	0	1	3	0	0.7797999999999999	0	1	0
VOGLIBOSE	8	1.0	5	0	0	8	1	-4.492399999999994	0	1	0
TRANDOLAPRIL	2	0.625	11	1	1	7	2	2.7733	1	3	0
AMINOGLUTETHIMIDE	2	0.38461538461538464	2	1	1	4	1	1.3531999999999995	2	2	0
TAMOXIFEN	0	0.2307692307692308	8	3	0	2	0	5.9961000000000055	0	3	0
QUINETHAZONE	3	0.3	2	1	1	6	1	0.8788	1	2	0
DESFLURANE	0	1.0	3	0	0	1	0	2.0835	0	0	1
ATOVAQUONE	1	0.2727272727272727	2	2	0	3	2	5.505100000000005	0	4	0
NIZATIDINE	2	0.5833333333333334	10	0	1	7	0	1.3224999999999998	0	1	0
TERBUTALINE_SULFATE	4	0.5	4	1	0	4	0	1.5192999999999997	0	1	0
PROGLUMIDE	2	0.5	12	1	0	6	0	2.2984	2	1	0
FLUPREDNISOLONE	3	0.7142857142857143	2	0	0	5	4	1.5056	0	4	0
ISOXICAM	2	0.14285714285714285	3	1	2	8	1	1.48242	1	3	0
BROMPERIDOL	1	0.3809523809523809	6	2	1	3	1	4.534700000000004	0	3	1
METHAMPHETAMINE	1	0.4	3	1	0	1	0	1.837	0	1	1
FAMCICLOVIR	1	0.5	9	0	2	9	0	0.5409999999999998	0	2	0
SAQUINAVIR	5	0.5	16	2	2	11	2	3.092400000000004	4	5	0
LEVOCETIRIZINE	1	0.3809523809523809	8	2	1	5	1	3.148200000000002	0	3	0
BUTIZIDE	3	0.4545454545454545	3	1	1	7	1	1.0634	0	2	0
AMPHETAMINE	1	0.3333333333333333	2	1	0	1	0	1.5763	0	1	1
PHENYL_AMINOSALICYLATE	2	0.0	3	2	0	4	0	2.1936	0	2	0
DICHLORPHENAMIDE	2	0.0	2	1	0	6	0	0.2882000000000006	0	1	0
ISONIAZID	2	0.0	2	0	1	4	0	-0.3149000000000006	1	1	0
TRIPELENNAMINE	0	0.3125	6	1	1	3	0	2.649800000000001	0	2	1
AMODIAQUINE	2	0.25	6	2	1	4	0	5.179200000000004	0	3	0
NITROGLYCERIN	0	1.0	8	0	0	12	0	-1.0200999999999996	0	0	0
SALICYLAMIDE	2	0.0	1	1	0	3	0	0.4911	1	1	0
HEXOPRENALINE	8	0.4545454545454545	13	2	0	8	0	2.015600000000001	0	2	0
AMLODIPINE_BESYLATE	2	0.4	10	1	1	7	1	2.2663	0	2	0
ALPRENOLOL	2	0.4666666666666667	8	1	0	3	0	2.1528	0	1	0
CARPIPRAMINE	1	0.5357142857142857	6	2	3	5	3	4.119200000000002	1	5	1
ASCORBIC	4	0.5	2	0	1	6	1	-1.4074	0	1	0
MEDROXYPROGESTERONE	1	0.8181818181818182	1	0	0	3	4	4.084400000000003	0	4	0
DEXTROMETHORPHAN	0	0.6666666666666666	1	1	1	2	3	3.3834000000000017	0	4	1
ETIZOLAM	0	0.2352941176470588	2	1	3	4	1	4.2040200000000025	0	4	1
THYMOXAMINE	0	0.5625	7	1	0	4	0	2.9841200000000017	0	1	0
MECLOFENAMATE_SODIUM	2	0.07142857142857142	3	2	0	3	0	4.743620000000003	0	2	0
BUSPIRONE	0	0.7142857142857143	6	0	3	7	3	2.088199999999999	2	4	1
ZOTEPINE	0	0.2222222222222222	4	2	1	2	1	4.880900000000003	0	3	1
BUTORPHANOL	2	0.7142857142857143	2	1	1	3	4	3.365600000000003	0	5	1
RALOXIFENE_HYDROCHLORIDE	2	0.25	7	3	2	5	1	6.075200000000005	0	5	0
SULFAPYRIDINE	2	0.0	3	1	1	5	0	1.4646	0	2	0
DANAZOL	1	0.6818181818181818	0	0	1	3	4	4.2210000000000045	0	5	0
LERCANIDIPINE	1	0.3333333333333333	14	3	1	9	1	6.478400000000009	0	4	0
RECAINAM	3	0.5333333333333333	8	1	0	4	0	2.8130400000000013	2	1	0
FELBINAC	1	0.07142857142857142	3	2	0	2	0	2.980700000000001	0	2	0
VINCAMINE	1	0.5714285714285714	3	1	4	5	3	2.952500000000001	0	5	0
CHLORAMPHENICOL_PALMITATE	2	0.7037037037037037	23	1	0	8	0	6.941200000000008	1	1	0
IRBESARTAN	1	0.4	7	2	2	7	2	4.7774000000000045	1	5	0
CEFUROXIME_AXETIL	2	0.4	13	0	3	14	2	-0.16829999999999856	3	3	0
ALBENDAZOLE	2	0.3333333333333333	6	1	1	5	0	3.2433000000000005	1	2	0
ALCLOFENAC	1	0.18181818181818185	5	1	0	3	0	2.5319000000000007	0	1	0
PHENSUXIMIDE	0	0.2727272727272727	1	1	1	3	1	1.1589	2	2	1
ANILERIDINE	1	0.4090909090909091	7	2	1	4	1	3.4082000000000017	0	3	1
DICYCLOMINE_HYDROCHLORIDE	0	0.9473684210526316	8	0	0	3	2	4.402200000000004	0	2	0
FOSAMPRENAVIR	4	0.48	15	2	1	12	1	2.5198	1	3	0
BAMIFYLLINE	1	0.45	8	1	2	8	0	0.3387000000000002	0	3	0
SULFISOXAZOLE	2	0.18181818181818185	3	1	1	6	0	1.6744400000000002	0	2	0
OXYPHENONIUM_BROMIDE	1	0.6666666666666666	9	1	0	4	1	3.484100000000001	0	2	0
CISAPRIDE_MONOHYDRATE	2	0.43478260869565216	10	2	1	7	1	3.358100000000001	1	3	0
MINOXIDIL	3	0.5555555555555556	1	0	2	6	1	0.17236999999999925	0	2	0
MENADIOL	2	0.09090909090909093	0	2	0	2	0	2.5594200000000007	0	2	0
STIRIPENTOL	1	0.42857142857142855	3	1	1	3	1	2.835500000000002	0	2	1
FLECAINIDE_ACETATE	2	0.5882352941176471	10	1	1	5	1	3.440700000000001	1	2	0
PAROXETINE	1	0.3684210526315789	4	2	2	4	2	3.3265000000000016	0	4	1
ENPROFYLLINE	2	0.375	2	0	2	6	0	-0.17710000000000065	0	2	0
NYSTATIN	12	0.6808510638297872	3	0	2	18	2	0.7783000000000075	0	2	0
NITRENDIPINE	1	0.3333333333333333	7	1	1	8	1	2.5657000000000005	0	2	0
CARBAZOCHROME	3	0.3	2	0	1	7	2	-1.2899999999999994	2	2	0
MELITRACEN	0	0.3333333333333333	3	2	0	1	1	4.709300000000004	0	3	1
PRAZOSIN	1	0.3157894736842105	5	1	3	9	1	1.7845999999999995	1	4	0
ENALAPRIL	2	0.55	11	1	1	7	1	1.6046	1	2	0
SALSALATE	2	0.0	4	2	0	5	0	2.309600000000001	0	2	0
PRALIDOXIME_CHLORIDE	1	0.14285714285714285	1	0	1	3	0	0.3191999999999999	0	1	0
METHOCARBAMOL	2	0.3636363636363637	7	1	0	6	0	0.5301999999999998	1	1	1
OSELTAMIVIR_PHOSPHATE	2	0.75	9	0	0	6	1	1.2853999999999997	1	1	0
AMINOPHYLLINE	1	0.2857142857142857	0	0	2	6	0	-1.0397000000000003	0	2	1
CARBENOXOLONE	2	0.8235294117647058	6	0	0	7	5	6.8283000000000085	0	5	0
DEXRAZOXANE	2	0.6363636363636364	3	0	2	8	2	-2.708299999999996	4	2	0
METHACYCLINE_HYDROCHLORIDE	6	0.3181818181818182	2	1	0	10	3	-0.4378999999999992	1	4	0
INDOMETHACIN	1	0.15789473684210525	5	2	1	5	0	3.9273200000000026	0	3	0
BOSENTAN	2	0.25925925925925924	11	2	2	11	0	4.203900000000004	0	4	0
PROPICILLIN	2	0.5	7	1	2	7	2	1.4756999999999998	2	3	0
MIGLITOL	5	1.0	3	0	1	6	1	-3.262099999999999	0	1	0
BENZTHIAZIDE	2	0.13333333333333333	5	2	1	7	1	2.2427	0	3	0
PRAMIPEXOLE	2	0.7	3	0	1	3	1	1.5822	0	2	1
VALSARTAN	2	0.375	11	2	1	8	0	4.1617000000000015	1	3	0
MENADIOL_SODIUM_DIPHOSPHATE	0	0.2	4	2	0	4	0	2.998820000000001	0	2	0
CLOBUTINOL	1	0.5714285714285714	5	1	0	2	0	2.8312000000000013	0	1	0
CLOPIDOGREL_BISULFATE	0	0.3125	4	1	2	3	1	3.6739000000000015	0	3	0
ROXITHROMYCIN	5	0.9512195121951221	13	0	3	17	3	2.2096000000000084	0	3	0
INDELOXAZINE	1	0.42857142857142855	3	1	1	3	2	1.6230999999999998	0	3	1
GLYCERIN	3	1.0	2	0	0	3	0	-1.6681	0	0	0
CHLORAZEPATE	2	0.0625	2	2	1	5	1	2.5827	1	3	1
SORIVUDINE	4	0.4545454545454545	3	0	2	8	1	-1.4863000000000006	0	2	0
CANDESARTAN	1	0.25	1	1	4	6	2	2.0796	0	5	0
NALBUPHINE	3	0.7142857142857143	2	1	2	5	5	1.7073000000000005	0	6	1
TOPIRAMATE	1	1.0	3	0	3	9	3	-0.3953999999999982	0	3	1
CHLORPHENESIN	2	0.3333333333333333	4	1	0	3	0	1.0719999999999998	0	1	1
PENTAERYTHRITOL	0	1.0	12	0	0	16	0	-1.1939999999999995	0	0	0
TROPISETRON	1	0.4705882352941176	3	1	3	4	2	2.9499000000000013	0	4	1
HYDROCORTISONE_CYPIONATE	2	0.8275862068965517	7	0	0	6	5	4.302900000000005	0	5	0
SULPIRIDE	2	0.5333333333333333	7	1	1	7	1	0.5567000000000012	1	2	1
NIFURTIMOX	0	0.5	3	0	2	8	1	0.6406000000000001	0	2	0
SULFACYTINE	2	0.16666666666666666	4	1	1	7	0	0.6461999999999999	0	2	0
DAPSONE	2	0.0	2	2	0	4	0	1.6838000000000002	0	2	0
RIBAVIRIN	4	0.625	3	0	2	9	1	-3.0114999999999994	1	2	0
ETRETINATE	0	0.3478260869565217	8	1	0	3	0	5.645560000000009	0	1	0
DICUMAROL	2	0.05263157894736842	2	2	2	6	0	2.9014000000000006	0	4	0
BROMFENAC	2	0.06666666666666668	4	2	0	4	0	2.889400000000001	0	2	0
ACETYLCYSTEINE	3	0.6	4	0	0	4	0	-0.4945	1	0	0
ABACAVIR_SULFATE	3	0.5	4	0	2	7	2	1.0922999999999998	0	4	0
DEXAMETHASONE	3	0.7272727272727273	2	0	0	5	4	1.8957	0	4	1
DOXEPIN	0	0.2631578947368421	3	2	1	2	1	3.9624000000000033	0	3	1
LACIDIPINE	1	0.4230769230769231	11	1	1	7	1	4.402500000000004	0	2	0
CLOFIBRATE	0	0.4166666666666667	5	1	0	3	0	3.060500000000001	0	1	0
STAVUDINE	2	0.4	2	0	2	6	1	-0.7090799999999999	0	2	0
PIPERAZINE_CITRATE	2	1.0	0	0	1	2	1	-0.8208	0	1	0
VITAMIN_A_PALMITATE	0	0.6944444444444444	21	0	0	2	1	11.542499999999983	0	1	0
PHENOXYBENZAMINE_HYDROCHLORIDE	0	0.3333333333333333	8	2	0	2	0	4.194900000000003	0	2	0
MELPERONE	0	0.5625	5	1	1	2	1	3.520500000000003	0	2	1
ALFENTANIL	0	0.6190476190476191	10	1	2	9	1	1.3839000000000006	1	3	1
CLENBUTEROL	3	0.5	4	1	0	3	0	2.9971000000000005	0	1	0
RILUZOLE	1	0.125	2	1	1	3	0	2.7771	0	2	0
PHENINDAMINE	0	0.2631578947368421	1	2	1	1	2	3.9212000000000033	0	4	1
ETHIONAMIDE	1	0.25	2	0	1	2	0	1.2782	0	1	0
ETHOPROPAZINE	0	0.3684210526315789	5	2	1	2	1	5.019600000000005	0	3	1
BENZONATATE	1	0.7666666666666667	33	1	0	12	0	2.8346000000000027	0	1	0
DIPIPANONE	0	0.4583333333333333	7	2	1	2	1	5.216300000000006	0	3	1
BROMHEXINE	1	0.5714285714285714	3	1	0	2	1	4.5583000000000045	0	2	0
METHAZOLAMIDE	1	0.4	2	0	1	7	0	-1.4237999999999986	1	1	0
PHENYLBUTAZONE	0	0.2631578947368421	5	2	1	4	1	3.7878000000000025	2	3	0
ACECAINIDE	2	0.4666666666666667	9	1	0	5	0	1.7165999999999997	2	1	0
BUSULFAN	0	1.0	7	0	0	6	0	-0.2809999999999997	0	0	0
QUINACRINE	1	0.43478260869565216	9	2	1	4	0	5.972400000000006	0	3	0
ACETOPHENAZINE	1	0.43478260869565216	7	2	2	5	2	3.4919000000000024	0	4	1
SEMATILIDE	2	0.5	9	1	0	6	0	1.1297	1	1	0
FOSFOMYCIN_TROMETHAMINE	2	1.0	1	0	1	4	1	-0.09110000000000007	0	1	0
PYRIDOSTIGMINE_BROMIDE	0	0.3333333333333333	3	0	1	4	0	0.5714999999999999	1	1	0
THIAMPHENICOL	3	0.4166666666666667	7	1	0	6	0	0.40430000000000027	1	1	0
TRAMADOL	1	0.625	4	1	0	3	1	2.6346000000000007	0	2	1
QUAZEPAM	0	0.17647058823529413	3	2	1	2	1	5.026200000000002	0	3	1
ITRACONAZOLE	0	0.3714285714285713	11	3	4	12	2	5.5773000000000055	0	7	0
METAXALONE	1	0.4166666666666667	3	1	1	4	1	1.7906399999999996	1	2	1
SULTAMICILLIN	2	0.56	10	1	4	13	4	-0.5885999999999969	3	5	0
TRIMIPRAMINE	0	0.4	4	2	1	2	1	4.121000000000003	0	3	1
LEVAMISOLE_HYDROCHLORIDE	0	0.3636363636363637	1	1	2	2	2	2.1461	0	3	0
CANDESARTAN_CILEXETIL	1	0.3333333333333333	13	3	2	12	1	6.319100000000009	0	6	0
ALMOTRIPTAN	1	0.5294117647058824	6	1	2	5	1	2.1976000000000004	0	3	1
ATENOLOL	3	0.5	8	1	0	5	0	0.4521000000000001	1	1	0
BETHANECHOL_CHLORIDE	1	0.8571428571428571	4	0	0	4	0	0.17640000000000045	1	0	0
BENZNIDAZOLE	1	0.16666666666666666	6	1	1	7	0	1.1076999999999997	1	2	0
TILIDINE	0	0.4705882352941176	5	1	0	3	1	2.7677000000000014	0	2	1
NEFAZODONE	0	0.44	10	2	2	7	1	3.5519000000000016	0	4	1
INDAPAMIDE	2	0.1875	4	2	1	6	1	2.0834	1	3	0
OXYPHENCYCLIMINE_HYDROCHLORIDE	1	0.6	6	1	1	5	2	2.7317000000000013	0	3	0
CHLORAMPHENICOL	3	0.3636363636363637	7	1	0	7	0	0.909	1	1	0
TOLOXATONE	1	0.3636363636363637	2	1	1	4	1	1.3125199999999997	1	2	1
FLEROXACIN	1	0.4117647058823529	4	1	2	6	1	1.6992	0	3	0
DYPHYLLINE	2	0.5	3	0	2	8	0	-2.2130999999999985	0	2	0
VIGABATRIN	2	0.5	4	0	0	3	0	0.3645000000000001	0	0	1
GLYBURIDE	3	0.39130434782608703	11	2	0	8	1	3.641700000000002	3	3	0
CYCLOBENZAPRINE_HYDROCHLORIDE	0	0.2	3	2	0	1	1	2.6446000000000014	0	3	0
COCAINE	0	0.5294117647058824	5	1	2	5	2	1.8677	0	3	1
CINNARIZINE	0	0.2307692307692308	6	3	1	2	1	5.1070000000000055	0	4	1
CEPHALEXIN	3	0.3125	5	1	2	7	2	0.44489999999999896	2	3	0
ORPHENADRINE	0	0.3333333333333333	6	2	0	2	0	3.6626200000000018	0	2	1
DIDANOSINE	2	0.5	2	0	3	7	1	-0.21050000000000008	0	3	0
OPIPRAMOL	1	0.39130434782608703	6	2	2	4	2	3.3085000000000027	0	4	1
THALIDOMIDE	1	0.2307692307692308	1	1	2	6	2	0.08779999999999992	4	3	1
